Case Name,Filing Year,Description,Case Categories,Principal Laws
"Natural Resources Defense Council, Inc. v. Coit",2020,Challenge to the National Marine Fisheries Service’s decision not to list alewife or blueback herring as threatened species under the Endangered Species Act. ,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Center for Biological Diversity v. Bernhardt,2020,Lawsuit to compel the U.S. Fish and Wildlife Service to issue a final determination on the proposed listing of the Humboldt marten as a threatened species.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Beyond Pesticides v. Exxon Mobil Corp.,2020,Lawsuit asserting that Exxon Mobil Corporation's representations regarding its investment in clean energy violated D.C. Consumer Protection Procedures Act.,State Law Claims>Environmentalist Lawsuits,State Law—Miscellaneous Statutes>District of Columbia Consumer Protection Procedures Act
Center for Biological Diversity v. County of Riverside,2018,"Challenge to environmental impact report for master-planned community in Riverside County, including for failure to consider how climate change would exacerbate the project's impacts.",State Law Claims>State Impact Assessment Laws,California Environmental Quality Act (CEQA)|State Law—Land Use Laws>California Planning and Zoning Law
In re The Gas Co. dba Hawaii Gas,2019,Challenge to the Hawaii Public Utilities Commission’s approval of a rate increase that allowed a utility to pass the costs of two liquid natural gas project on to its customers.,State Law Claims>Utility Regulation|Public Trust Claims,Public Trust Doctrine|State Constitutions>Hawaiʻi Constitution|State Constitutions>Hawaiʻi Public Utilities Law
State v. American Petroleum Institute,2020,Action brought by Minnesota against members of the fossil fuel industry for allegedly causing climate change harms by misleading the public by downplaying the threat of climate change and the role of their products in causing climate change.,Adaptation>Actions seeking money damages for losses|State Law Claims>Enforcement Cases|Common Law Claims,State Law—Fraud|State Law—Negligence|State Law–Strict Liability|State Law—Miscellaneous Statutes>Minnesota Consumer Fraud Act|State Law—Miscellaneous Statutes>Minnesota Uniform Deceptive Trade Practices Act|State Law—Miscellaneous Statutes>Minnesota False Statement in Advertising Act
District of Columbia v. Exxon Mobil Corp.,2020,Lawsuit filed by the District of Columbia against oil and gas companies for allegedly violating the Consumer Protection Procedures Act by misleading consumers about “the central role their products play in causing climate change.”,State Law Claims>Enforcement Cases,State Law—Miscellaneous Statutes>District of Columbia Consumer Protection Procedures Act
Natural Resources Defense Council v. Federal Energy Regulatory Commission,2020,"Challenge to FERC order requiring application of ""buyer-side mitigation"" rules to demand response resources in New York capacity market.",Federal Statutory Claims>Other Statutes and Regulations,Federal Power Act
Natural Resources Defense Council v. Federal Energy Regulatory Commission,2020,"Challenge to FERC order requiring that ""buyer-side mitigation"" rules apply to electric storage resources in the New York capacity market.",Federal Statutory Claims>Other Statutes and Regulations,Federal Power Act
Puget Soundkeeper Alliance v. EPA,2020,"Challenge to the revised definition of ""waters of the United States"" under the Clean Water Act.",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Administrative Procedure Act (APA)
Pascua Yaqui Tribe v. EPA,2020,"Challenge to the revised definition of ""waters of the United States"" under the Clean Water Act.",Federal Statutory Claims>Clean Water Act,Clean Water Act (CWA)|Administrative Procedure Act (APA)
Animal Legal Defense Fund v. Azar,2020,Challenge to the U.S. Food and Drug Administration's approval of a drug intended to reduce the amount of ammonia gas released from the waste produced by cows raised for beef.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)
The Two Hundred v. Governor’s Office of Planning &amp; Research,2019,Challenge to new California Environmental Quality Act regulations.,State Law Claims>State Impact Assessment Laws|Constitutional Claims>Fourteenth Amendment,California Global Warming Solutions Act (AB 32)|California Environmental Quality Act (CEQA)|State Constitutions>California Constitution|Fourteenth Amendment—Equal Protection|Fourteenth Amendment—Due Process|State Law—Miscellaneous Statutes>California Fair Employment and Housing Act|State Law—Miscellaneous Statutes>California Administrative Procedure Act|State Law—Miscellaneous Statutes>California Congestion Management Plan Law|Fair Housing Act|State Law—Miscellaneous Statutes>California General Plan Law|State Law—Miscellaneous Statutes>California Regional Housing Needs Assessment Law|State Law—Miscellaneous Statutes>California Clean Air Act
Energy Policy Advocates v. Attorney General’s Office,2020,"Lawsuit seeking communications and other records, including emails regarding climate change, from Vermont attorney general's office.",State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>Vermont Public Records Law
Energy Policy Advocates v. Nessel,2020,"Lawsuit seeking to compel disclosure of correspondence and other records of the Michigan Department of Attorney General that allegedly concerned the Department's ""involvement with outside pressure groups and plaintiff’s tort attorneys.” ",State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>Michigan Freedom of Information Act
"Chiquita Canyon, LLC v. County of Los Angeles",2020,Challenge by owner and operator of a Los Angeles County landfill to permit conditions.,State Law Claims>Industry Lawsuits,State Law—Land Use Laws>California Subdivision Map Act|State Law—Miscellaneous Statutes>California Mitigation Fee Act|State Law—Miscellaneous Statutes>California Integrated Waste Management Act
Alaska Community Action on Toxics v. Council on Environmental Quality,2020,Challenge to amendments to the National Environmental Policy Act regulations.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Wild Virginia v. Council on Environmental Quality,2020,Challenge to amendments to the National Environmental Policy Act regulations.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Environmental Justice Health Alliance v. Council on Environmental Quality,2020,Challenge to amendments of the National Environmental Policy Act regulations.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Friends of the Earth v. U.S. Nuclear Regulatory Commission,2020,Challenge to license renewals for the Turkey Point nuclear generating station in Florida.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Northern Alaska Environmental Center v. Bernhardt,2020,Challenge to federal approvals for a 211-mile road through the southern Brooks Range and Gates of the Arctic National Park and Preserve to provide access to a mining district.,Federal Statutory Claims>NEPA|Federal Statutory Claims>Other Statutes and Regulations,National Environmental Policy Act (NEPA)|National Historic Preservation Act (NHPA)|Federal Land Policy and Management Act (FLPMA)|Clean Water Act (CWA)|Administrative Procedure Act (APA)|Alaska National Interest Lands Conservation Act
Energy Policy Advocates v. Office of the Attorney General,2020,Lawsuit to compel disclosure of communications between the Massachusetts Office of the Attorney General and outside lawyers.,State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>Massachusetts Public Records Law
Energy Policy Advocates v. Ellison,2020,"Lawsuit to compel disclosure of records related to the relationship between the Minnesota Attorney General and an outside group that funds ""special attorneys general"" to advance progressive climate change positions.",State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>Minnesota Government Data Practices Act
Energy Policy Advocates v. Balderas,2020,Lawsuit to compel disclosure of the New Mexico Attorney General's communications and agreements with other states' attorneys general offices.,State Law Claims>Freedom of Information/Public Records,State Law—Miscellaneous Statutes>New Mexico Inspection of Public Records Act
North Slope Borough v. Ross,2020,Lawsuit to compel action on a petition to delist the Arctic ringed seal under the Endangered Species Act.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes,Endangered Species Act (ESA)|Administrative Procedure Act (APA)
Cottonwood Environmental Law Center v. Marten,2020,Lawsuit alleging violations of the National Environmental Policy Act for failure to prepare supplemental analyses of national forest plans and projects in light of new information about climate change.,Federal Statutory Claims>NEPA,National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
Bold Alliance v. U.S. Department of the Interior,2020,Challenge to right-of-way and temporary use permit for Keystone XL to cross federal lands.,Federal Statutory Claims>Endangered Species Act and Other Wildlife Protection Statutes|Federal Statutory Claims>NEPA,Endangered Species Act (ESA)|National Environmental Policy Act (NEPA)|Administrative Procedure Act (APA)
